NLA,SUP6,Draw ,Draw#
11 24 27 29 35 K BB: 23 Letter:,07 13 16 18 20 28 E Letter:,3376,2455
13 18 19 24 28 I BB: 21 Letter:,01 05 11 19 22 26 E Letter:,3375,2454
04 10 16 22 32   M BB: 36 Letter:,03 08 18 21 24 26   C Letter:,3374,2453
03 06 24 29 30 L BB: 23 Letter:,07 09 16 17 18 23 K Letter:,3373,2452
03 04 05 06 07 C BB: 36 Letter:,02 11 12 13 17 20 G Letter:,3372,2451
03 19 23 26 29 D BB: 33 Letter:,01 06 08 09 14 27 G Letter:,3371,2450
07 12 16 21 32 L BB: 36 Letter:,05 09 10 14 23 27 J Letter:,3370,2449
06 16 17 20 31 D BB: 33 Letter:,01 08 10 12 25 26 I Letter:,3369,2448
10 31 33 34 36 H BB: 14 Letter:,01 04 17 20 21 28 O Letter:,3368,2447
17 25 26 28 33 N BB: 23 Letter:,05 06 07 11 21 24 I Letter:,3367,2446
10 20 28 32 35 B BB: 17 Letter:,02 08 18 19 24 25 I Letter:,3366,2445
08 11 17 22 30 J BB: 09 Letter:,03 09 11 26 27 28 I Letter:,3365,2444
06 19 21 24 27 L BB: 28 Letter:,01 03 08 10 18 28 G Letter:,3364,2443
19 24 27 32 34 M BB: 13 Letter:,01 03 10 11 25 26 J Letter:,3363,2442
06 09 12 22 33 I BB: 31 Letter:,10 12 20 24 26 27 I Letter:,3362,2441
02 16 27 30 34 D BB: 14 Letter:,01 13 15 18 20 23 A Letter:,3361,2440
05 17 25 30 33 K BB: 24 Letter:,01 03 13 18 19 27   D Letter:,3360,2439
04 12 16 25 27 H BB: 21 Letter:,01 12 18 19 23 28 G Letter:,3359,2438
