Draw ,NLA,Draw#,SUP6
3406,03-13-31-34-35 BB: 29 Letter: K,2487,02 05 09 14 23 25 K
3405,03-10-12-26-31 BB: 35 Letter: K,2486,13 16 20 21 22 28 J
3404,03-20-23-25-28 BB: 30 Letter: K,2485,06 07 09 11 21 23 J
3403,01-03-15-27-35 BB: 30 Letter: K,2484,08 09 14 15 22 26 I
3402,02-06-17-23-36 BB: 25 Letter: K,2483,02 08 12 14 17 26 K
3401,01-18-19-30-35 BB: 06 Letter: K,2482,05 06 20 24 26 27 K
3400,03-06-11-14-24 BB: 23 Letter: K,2481,07 08 10 11 14 28 H
3399,01-09-12-23-27 BB: 24 Letter: K,2480,09 10 13 17 20 22 E
3398,02-06-14-19-29 BB: 22 Letter: K,2479,06 12 13 24 25 27 B
3396,04-15-18-27-34 BB: 26 Letter: K,2478,05 08 13 20 24 26 J
3396,03-13-30-31-34 BB: 16 Letter: K,2477,01 04 14 15 24 28 K
3395,02-03-10-19-21 BB: 17 Letter: K,2476,02 08 16 24 26 27 E
3394,01-05-11-15-30 BB: 29 Letter: K,2475,01 06 11 13 14 17 J
3393,08-10-25-30-32 BB: 21 Letter: K,2474,06 11 13 16 22 28 G
3392,07-17-23-25-31 BB: 03 Letter: K,2473,02 10 12 15 20 28 C
3391,03-09-17-28-32 BB: 26 Letter: K,2472,05 06 07 13 27 28   C
3390,06-13-22-26-33 BB: 09 Letter: K,2471,01 02 16 17 21 26 L
3389,02-06-26-28-29 BB: 03 Letter: K,2470,02 04 06 15 18 21 C
,12-13-18-24-35 BB: 05 Letter: K,2469,03 12 14 16 24 28 B
3388,04-14-20-24-28 BB: 03 Letter: K,2468,03 13 16 18 25 27 I
3387,04-23-28-30-36 BB: 07 Letter: K,2467,05 09 10 19 24 28 K
3386,01-02-18-24-35 BB: 15 Letter: K,2466,13 14 16 19 23 27 M
3385,08-11-22-27-35 BB: 28 Letter: K,2465,01 08 20 21 26 27 F
3384,11-24-27-29-35 BB: 23 Letter: K,2464,06 07 10 11 22 28 L
3383,13-18-19-24-28 BB: 21 Letter: K,2463,02 03 10 16 22 24 A
3382,04-10-16-22-32 BB: 36 Letter: K,2462,09 17 18 19 21 24 A
3381,03-06-24-29-30 BB: 23 Letter: K,2461,02 05 06 12 14 21 C
3380,03-04-05-06-07 BB: 36 Letter: K,2460,04 10 14 18 20 25 C
,03-19-23-26-29 BB: 33 Letter: K,2459,01 05 08 09 17 19 F
3379,07-12-16-21-32 BB: 36 Letter: K,2458,04 05 15 16 17 22 J
3378,06-16-17-20-31 BB: 33 Letter: K,2457,02 08 09 14 15 21 M
3377,10-31-33-34-36 BB: 14 Letter: K,,
3376,17-25-26-28-33 BB: 23 Letter: K,2455,07 13 16 18 20 28 E
3375,10-20-28-32-35 BB: 17 Letter: K,2454,01 05 11 19 22 26 E
3374,08-11-17-22-30 BB: 09 Letter: K,2453,03 08 18 21 24 26   C
3373,06-19-21-24-27 BB: 28 Letter: K,2452,07 09 16 17 18 23 K
3372,19-24-27-32-34 BB: 13 Letter: K,2451,02 11 12 13 17 20 G
3371,06-09-12-22-33 BB: 31 Letter: K,2450,01 06 08 09 14 27 G
3370,02-16-27-30-34 BB: 14 Letter: K,2449,05 09 10 14 23 27 J
3369,05-17-25-30-33 BB: 24 Letter: K,2448,01 08 10 12 25 26 I
3368,04-12-16-25-27 BB: 21 Letter: K,2447,01 04 17 20 21 28 O
3367,02-03-17-30-32-F-BB-33 ,2446,05 06 07 11 21 24 I
3366,,2445,02 08 18 19 24 25 I
3365,,2444,03 09 11 26 27 28 I
3364,,2443,01 03 08 10 18 28 G
3363,,2442,01 03 10 11 25 26 J
3362,,2441,10 12 20 24 26 27 I
3361,,2440,01 13 15 18 20 23 A
3360,,2439,01 03 13 18 19 27   D
3359,,2438,01 12 18 19 23 28 G
