Draw ,NLA,Draw#,SUP6
3379,04 23 28 30 36 I BB-07,2458,04 05 15 16 17 22 J
3378,01 02 18 24 35 M BB-15,2457,02 08 09 14 15 21 M
3377,08 11 22 27 35 N BB-28,,
3376,11 24 27 29 35 K BB-23,2455,07 13 16 18 20 28 E
3375,13 18 19 24 28 I BB-21,2454,01 05 11 19 22 26 E
3374,04 10 16 22 32   M   BB-36,2453,03 08 18 21 24 26   C
3373,03 06 24 29 30 L BB-23,2452,07 09 16 17 18 23 K
3372,03 04 05 06 07 C BB-36,2451,02 11 12 13 17 20 G
3371,03 19 23 26 29 D BB-33,2450,01 06 08 09 14 27 G
3370,07 12 16 21 32 L BB-36 ,2449,05 09 10 14 23 27 J
3369,06 16 17 20 31 D BB-33,2448,01 08 10 12 25 26 I
3368,10 31 33 34 36 H BB-14,2447,01 04 17 20 21 28 O
3367,17 25 26 28 33 N BB-23 ,2446,05 06 07 11 21 24 I
3366,10 20 28 32 35 B BB-17,2445,02 08 18 19 24 25 I
3365,08 11 17 22 30 J BB-09,2444,03 09 11 26 27 28 I
3364,06 19 21 24 27 L BB-28 ,2443,01 03 08 10 18 28 G
3363,19 24 27 32 34 M BB-13,2442,01 03 10 11 25 26 J
3362,06 09 12 22 33 I BB-31 ,2441,10 12 20 24 26 27 I
3361,02 16 27 30 34 D BB-14 ,2440,01 13 15 18 20 23 A
3360,05 17 25 30 33 K BB-24 ,2439,01 03 13 18 19 27   D
3359,04 12 16 25 27 H BB-21 ,2438,01 12 18 19 23 28 G
