Draw ,NLA,Draw#,SUP6
3382,02-06-26-28-29-03,2462,09-17-18-19-21-24
3381,12-13-18-24-35-05,2461,02-05-06-12-14-21
3380,04-14-20-24-28-03,2460,04-10-14-18-20-25
,,2459,01-05-08-09-17-19
3379,04-23-28-30-36-07,2458,04-05-15-16-17-22
3378,01-02-18-24-35-15,2457,02-08-09-14-15-21
3377,08-11-22-27-35-28,,
3376,11-24-27-29-35-23,2455,07-13-16-18-20-28
3375,13-18-19-24-28-21,2454,01-05-11-19-22-26
3374,04-10-16-22-32-36,2453,03-08-18-21-24-26
3373,03-06-24-29-30-23,2452,07-09-16-17-18-23
3372,03-04-05-06-07-36,2451,02-11-12-13-17-20
3371,03-19-23-26-29-33,2450,01-06-08-09-14-27
3370,07-12-16-21-32-36,2449,05-09-10-14-23-27
3369,06-16-17-20-31-33,2448,01-08-10-12-25-26
3368,10-31-33-34-36-14,2447,01-04-17-20-21-28
3367,17-25-26-28-33-23,2446,05-06-07-11-21-24
3366,10-20-28-32-35-17,2445,02-08-18-19-24-25
3365,08-11-17-22-30-09,2444,03-09-11-26-27-28
3364,06-19-21-24-27-28,2443,01-03-08-10-18-28
3363,19-24-27-32-34-13,2442,01-03-10-11-25-26
3362,06-09-12-22-33-31,2441,10-12-20-24-26-27
3361,02-16-27-30-34-14,2440,01-13-15-18-20-23
3360,05-17-25-30-33-24,2439,01-03-13-18-19-27
3359,04-12-16-25-27-21,2438,01-12-18-19-23-28
